BTC FULL CHAIN — REVERSE SOLVED FROM ZERO SPACE
nos3bl33d / (DFG) DeadFoxGroup | x^2 = x + 1
Generated 2026-04-10 22:54:47 UTC

METHOD: Start from zero space, reverse the axiom at each step
  Pentagon rotation: 72 deg = 530,887,154 nonces per difficulty adjustment
  Triangle rotation: 120 deg = 884,811,923 nonces per halvening
  Difficulty periods per halvening: 210000/2016 = 104.17
  Genesis nonce: 2083236893

STEP  BLOCK_HEIGHT  HALVENING  DIRECTION  NONCE_PRED      MIRROR          ROTATION_ACC
  28        56,448          0  PAST          103,298,469   2,771,724,294   1,979,938,424
  29        58,464          0  PAST        3,867,378,611   3,011,740,646   2,510,825,578
  30        60,480          0  PAST        3,336,491,457   3,251,756,742   3,041,712,732
  31        62,496          0  PAST        2,805,604,303   3,474,930,343   3,572,599,886
  32        64,512          0  PAST        2,274,717,149   3,714,946,439   4,103,487,040
  33        66,528          0  PAST        1,743,829,995   3,954,962,535     339,406,898
  34        68,544          0  PAST        1,212,942,841   4,178,136,136     870,294,052
  35        70,560          0  PAST          682,055,687     123,250,472   1,401,181,206
  36        72,576          0  PAST          151,168,533     363,201,033   1,932,068,360
  37        74,592          0  PAST        3,915,248,675     603,217,385   2,462,955,514
  38        76,608          0  PAST        3,384,361,521     826,456,521   2,993,842,668
  39        78,624          0  PAST        2,853,474,367   1,066,407,082   3,524,729,822
  40        80,640          0  PAST        2,322,587,213   1,306,423,178   4,055,616,976
  41        82,656          0  PAST        1,791,700,059   1,529,662,314     291,536,834
  42        84,672          0  PAST        1,260,812,905   1,769,612,875     822,423,988
  43        86,688          0  PAST          729,925,751   2,009,628,971   1,353,311,142
  44        88,704          0  PAST          199,038,597   2,232,868,107   1,884,198,296
  45        90,720          0  PAST        3,963,118,739   2,472,818,924   2,415,085,450
  46        92,736          0  PAST        3,432,231,585   2,712,835,020   2,945,972,604
  47        94,752          0  PAST        2,901,344,431   2,936,074,156   3,476,859,758
  48        96,768          0  PAST        2,370,457,277   3,176,024,717   4,007,746,912
  49        98,784          0  PAST        1,839,570,123   3,416,040,813     243,666,770
  50       100,800          0  PAST        1,308,682,969   3,655,991,374     774,553,924
  51       102,816          0  PAST          777,795,815   3,879,230,510   1,305,441,078
  52       104,832          0  PAST          246,908,661   4,119,246,606   1,836,328,232
  53       106,848          0  PAST        4,010,988,803      64,295,663   2,367,215,386
  54       108,864          0  PAST        3,480,101,649     287,534,799   2,898,102,540
  55       110,880          0  PAST        2,949,214,495     527,550,895   3,428,989,694
  56       112,896          0  PAST        2,418,327,341     767,501,456   3,959,876,848
  57       114,912          0  PAST        1,887,440,187     990,740,592     195,796,706
  58       116,928          0  PAST        1,356,553,033   1,230,756,688     726,683,860
  59       118,944          0  PAST          825,665,879   1,470,707,249   1,257,571,014
  60       120,960          0  PAST          294,778,725   1,710,723,345   1,788,458,168
  61       122,976          0  PAST        4,058,858,867   1,933,962,737   2,319,345,322
  62       124,992          0  PAST        3,527,971,713   2,173,913,298   2,850,232,476
  63       127,008          0  PAST        2,997,084,559   2,413,929,394   3,381,119,630
  64       129,024          0  PAST        2,466,197,405   2,637,168,530   3,912,006,784
  65       131,040          0  PAST        1,935,310,251   2,877,119,091     147,926,642
  66       133,056          0  PAST        1,404,423,097   3,117,135,187     678,813,796
  67       135,072          0  PAST          873,535,943   3,340,308,788   1,209,700,950
  68       137,088          0  PAST          342,648,789   3,580,324,884   1,740,588,104
  69       139,104          0  PAST        4,106,728,931   3,820,341,236   2,271,475,258
  70       141,120          0  PAST        3,575,841,777   4,043,514,837   2,802,362,412
  71       143,136          0  PAST        3,044,954,623   4,283,530,933   3,333,249,566
  72       145,152          0  PAST        2,514,067,469     228,645,269   3,864,136,720
  73       147,168          0  PAST        1,983,180,315     468,595,830     100,056,578
  74       149,184          0  PAST        1,452,293,161     691,834,966     630,943,732
  75       151,200          0  PAST          921,406,007     931,851,062   1,161,830,886
  76       153,216          0  PAST          390,518,853   1,171,801,623   1,692,718,040
  77       155,232          0  PAST        4,154,598,995   1,395,041,015   2,223,605,194
  78       157,248          0  PAST        3,623,711,841   1,635,057,111   2,754,492,348
  79       159,264          0  PAST        3,092,824,687   1,875,007,672   3,285,379,502
  80       161,280          0  PAST        2,561,937,533   2,098,246,808   3,816,266,656
  81       163,296          0  PAST        2,031,050,379   2,338,197,369      52,186,514
  82       165,312          0  PAST        1,500,163,225   2,578,213,465     583,073,668
  83       167,328          0  PAST          969,276,071   2,818,229,561   1,113,960,822
  84       169,344          0  PAST          438,388,917   3,041,403,162   1,644,847,976
  85       171,360          0  PAST        4,202,469,059   3,281,419,514   2,175,735,130
  86       173,376          0  PAST        3,671,581,905   3,521,435,610   2,706,622,284
  87       175,392          0  PAST        3,140,694,751   3,744,609,211   3,237,509,438
  88       177,408          0  PAST        2,609,807,597   3,984,625,307   3,768,396,592
  89       179,424          0  PAST        2,078,920,443   4,224,641,403       4,316,450
  90       181,440          0  PAST        1,548,033,289     152,913,244     535,203,604
  91       183,456          0  PAST        1,017,146,135     392,929,340   1,066,090,758
  92       185,472          0  PAST          486,258,981     632,945,436   1,596,977,912
  93       187,488          0  PAST        4,250,339,123     856,119,293   2,127,865,066
  94       189,504          0  PAST        3,719,451,969   1,096,135,389   2,658,752,220
  95       191,520          0  PAST        3,188,564,815   1,336,085,950   3,189,639,374
  96       193,536          0  PAST        2,657,677,661   1,576,102,046   3,720,526,528
  97       195,552          0  PAST        2,126,790,507   1,799,341,182   4,251,413,682
  98       197,568          0  PAST        1,595,903,353   2,039,291,743     487,333,540
  99       199,584          0  PAST        1,065,016,199   2,279,307,839   1,018,220,694
 100       201,600          0  PAST          534,129,045   2,502,546,975   1,549,107,848
 101       203,616          0  PAST            3,241,891   2,742,497,536   2,079,995,002
 102       205,632          0  PAST        3,767,322,033   2,982,513,888   2,610,882,156
 103       207,648          0  PAST        3,236,434,879   3,205,753,024   3,141,769,310
 104       209,664          0  PAST        2,705,547,725   3,445,703,585   3,672,656,464
 105       211,680          1  PAST        1,820,735,802     976,848,492     262,501,091
 106       213,696          1  PAST        1,289,848,648   1,216,864,588     793,388,245
 107       215,712          1  PAST          758,961,494   1,456,815,149   1,324,275,399
 108       217,728          1  PAST          228,074,340   1,680,054,285   1,855,162,553
 109       219,744          1  PAST        3,992,154,482   1,920,070,637   2,386,049,707
 110       221,760          1  PAST        3,461,267,328   2,160,021,198   2,916,936,861
 111       223,776          1  PAST        2,930,380,174   2,383,260,334   3,447,824,015
 112       225,792          1  PAST        2,399,493,020   2,623,210,895   3,978,711,169
 113       227,808          1  PAST        1,868,605,866   2,863,226,991     214,631,027
 114       229,824          1  PAST        1,337,718,712   3,103,243,087     745,518,181
 115       231,840          1  PAST          806,831,558   3,326,416,688   1,276,405,335
 116       233,856          1  PAST          275,944,404   3,566,432,784   1,807,292,489
 117       235,872          1  PAST        4,040,024,546   3,806,449,136   2,338,179,643
 118       237,888          1  PAST        3,509,137,392   4,029,622,737   2,869,066,797
 119       239,904          1  PAST        2,978,250,238   4,269,638,833   3,399,953,951
 120       241,920          1  PAST        2,447,363,084     214,753,169   3,930,841,105
 121       243,936          1  PAST        1,916,475,930     437,926,770     166,760,963
 122       245,952          1  PAST        1,385,588,776     677,942,866     697,648,117
 123       247,968          1  PAST          854,701,622     917,958,962   1,228,535,271
 124       249,984          1  PAST          323,814,468   1,141,132,563   1,759,422,425
 125       252,000          1  PAST        4,087,894,610   1,381,148,915   2,290,309,579
 126       254,016          1  PAST        3,557,007,456   1,621,099,476   2,821,196,733
 127       256,032          1  PAST        3,026,120,302   1,861,115,572   3,352,083,887
 128       258,048          1  PAST        2,495,233,148   2,084,354,708   3,882,971,041
 129       260,064          1  PAST        1,964,345,994   2,324,305,269     118,890,899
 130       262,080          1  PAST        1,433,458,840   2,564,321,365     649,778,053
 131       264,096          1  PAST          902,571,686   2,787,560,501   1,180,665,207
 132       266,112          1  PAST          371,684,532   3,027,511,062   1,711,552,361
 133       268,128          1  PAST        4,135,764,674   3,267,527,414   2,242,439,515
 134       270,144          1  PAST        3,604,877,520   3,490,766,550   2,773,326,669
 135       272,160          1  PAST        3,073,990,366   3,730,717,111   3,304,213,823
 136       274,176          1  PAST        2,543,103,212   3,970,733,207   3,835,100,977
 137       276,192          1  PAST        2,012,216,058   4,210,749,303      71,020,835
 138       278,208          1  PAST        1,481,328,904     139,021,144     601,907,989
 139       280,224          1  PAST          950,441,750     379,037,240   1,132,795,143
 140       282,240          1  PAST          419,554,596     618,987,801   1,663,682,297
 141       284,256          1  PAST        4,183,634,738     842,227,193   2,194,569,451
 142       286,272          1  PAST        3,652,747,584   1,082,243,289   2,725,456,605
 143       288,288          1  PAST        3,121,860,430   1,322,193,850   3,256,343,759
 144       290,304          1  PAST        2,590,973,276   1,545,432,986   3,787,230,913
 145       292,320          1  PAST        2,060,086,122   1,785,449,082      23,150,771
 146       294,336          1  PAST        1,529,198,968   2,025,399,643     554,037,925
 147       296,352          1  PAST          998,311,814   2,248,638,779   1,084,925,079
 148       298,368          1  PAST          467,424,660   2,488,654,875   1,615,812,233
 149       300,384          1  PAST        4,231,504,802   2,728,605,692   2,146,699,387
 150       302,400          1  PAST        3,700,617,648   2,968,621,788   2,677,586,541
 151       304,416          1  PAST        3,169,730,494   3,191,860,924   3,208,473,695
 152       306,432          1  PAST        2,638,843,340   3,431,811,485   3,739,360,849
 153       308,448          1  PAST        2,107,956,186   3,671,827,581   4,270,248,003
 154       310,464          1  PAST        1,577,069,032   3,895,001,182     506,167,861
 155       312,480          1  PAST        1,046,181,878   4,135,017,278   1,037,055,015
 156       314,496          1  PAST          515,294,724      80,131,614   1,567,942,169
 157       316,512          1  PAST        4,279,374,866     303,305,471   2,098,829,323
 158       318,528          1  PAST        3,748,487,712     543,321,567   2,629,716,477
 159       320,544          1  PAST        3,217,600,558     783,337,663   3,160,603,631
 160       322,560          1  PAST        2,686,713,404   1,023,288,224   3,691,490,785
 161       324,576          1  PAST        2,155,826,250   1,246,527,360   4,222,377,939
 162       326,592          1  PAST        1,624,939,096   1,486,543,456     458,297,797
 163       328,608          1  PAST        1,094,051,942   1,726,494,017     989,184,951
 164       330,624          1  PAST          563,164,788   1,949,733,153   1,520,072,105
 165       332,640          1  PAST           32,277,634   2,189,749,249   2,050,959,259
 166       334,656          1  PAST        3,796,357,776   2,429,700,066   2,581,846,413
 167       336,672          1  PAST        3,265,470,622   2,652,939,202   3,112,733,567
 168       338,688          1  PAST        2,734,583,468   2,892,955,298   3,643,620,721
 169       340,704          1  PAST        2,203,696,314   3,132,905,859   4,174,507,875
 170       342,720          1  PAST        1,672,809,160   3,356,144,995     410,427,733
 171       344,736          1  PAST        1,141,922,006   3,596,095,556     941,314,887
 172       346,752          1  PAST          611,034,852   3,836,111,652   1,472,202,041
 173       348,768          1  PAST           80,147,698   4,076,127,748   2,003,089,195
 174       350,784          1  PAST        3,844,227,840       4,399,845   2,533,976,349
 175       352,800          1  PAST        3,313,340,686     244,415,941   3,064,863,503
 176       354,816          1  PAST        2,782,453,532     484,432,037   3,595,750,657
 177       356,832          1  PAST        2,251,566,378     707,605,638   4,126,637,811
 178       358,848          1  PAST        1,720,679,224     947,621,734     362,557,669
 179       360,864          1  PAST        1,189,792,070   1,187,637,830     893,444,823
 180       362,880          1  PAST          658,904,916   1,410,811,431   1,424,331,977
 181       364,896          1  PAST          128,017,762   1,650,827,527   1,955,219,131
 182       366,912          1  PAST        3,892,097,904   1,890,843,879   2,486,106,285
 183       368,928          1  PAST        3,361,210,750   2,114,017,480   3,016,993,439
 184       370,944          1  PAST        2,830,323,596   2,354,033,576   3,547,880,593
 185       372,960          1  PAST        2,299,436,442   2,593,984,137   4,078,767,747
 186       374,976          1  PAST        1,768,549,288   2,834,000,233     314,687,605
 187       376,992          1  PAST        1,237,662,134   3,057,239,369     845,574,759
 188       379,008          1  PAST          706,774,980   3,297,189,930   1,376,461,913
 189       381,024          1  PAST          175,887,826   3,537,206,026   1,907,349,067
 190       383,040          1  PAST        3,939,967,968   3,760,445,418   2,438,236,221
 191       385,056          1  PAST        3,409,080,814   4,000,395,979   2,969,123,375
 192       387,072          1  PAST        2,878,193,660   4,240,412,075   3,500,010,529
 193       389,088          1  PAST        2,347,306,506     168,749,451   4,030,897,683
 194       391,104          1  PAST        1,816,419,352     408,700,012     266,817,541
 195       393,120          1  PAST        1,285,532,198     648,716,108     797,704,695
 196       395,136          1  PAST          754,645,044     888,732,204   1,328,591,849
 197       397,152          1  PAST          223,757,890   1,111,905,805   1,859,479,003
 198       399,168          1  PAST        3,987,838,032   1,351,922,157   2,390,366,157
 199       401,184          1  PAST        3,456,950,878   1,591,872,718   2,921,253,311
 200       403,200          1  PAST        2,926,063,724   1,815,111,854   3,452,140,465
 201       405,216          1  PAST        2,395,176,570   2,055,127,950   3,983,027,619
 202       407,232          1  PAST        1,864,289,416   2,295,078,511     218,947,477
 203       409,248          1  PAST        1,333,402,262   2,518,317,647     749,834,631
 204       411,264          1  PAST          802,515,108   2,758,333,743   1,280,721,785
 205       413,280          1  PAST          271,627,954   2,998,284,304   1,811,608,939
 206       415,296          1  PAST        4,035,708,096   3,221,523,696   2,342,496,093
 207       417,312          1  PAST        3,504,820,942   3,461,539,792   2,873,383,247
 208       419,328          1  PAST        2,973,933,788   3,701,490,353   3,404,270,401
 209       421,344          2  PAST        2,089,121,865   1,232,635,260   4,289,082,324
 210       423,360          2  PAST        1,558,234,711   1,472,651,356     525,002,182
 211       425,376          2  PAST        1,027,347,557   1,695,824,957   1,055,889,336
 212       427,392          2  PAST          496,460,403   1,935,841,053   1,586,776,490
 213       429,408          2  PAST        4,260,540,545   2,175,857,405   2,117,663,644
 214       431,424          2  PAST        3,729,653,391   2,415,807,966   2,648,550,798
 215       433,440          2  PAST        3,198,766,237   2,639,047,102   3,179,437,952
 216       435,456          2  PAST        2,667,879,083   2,878,997,663   3,710,325,106
 217       437,472          2  PAST        2,136,991,929   3,119,013,759   4,241,212,260
 218       439,488          2  PAST        1,606,104,775   3,342,252,895     477,132,118
 219       441,504          2  PAST        1,075,217,621   3,582,203,456   1,008,019,272
 220       443,520          2  PAST          544,330,467   3,822,219,552   1,538,906,426
 221       445,536          2  PAST           13,443,313   4,045,458,688   2,069,793,580
 222       447,552          2  PAST        3,777,523,455   4,285,409,505   2,600,680,734
 223       449,568          2  PAST        3,246,636,301     230,523,841   3,131,567,888
 224       451,584          2  PAST        2,715,749,147     453,762,977   3,662,455,042
 225       453,600          2  PAST        2,184,861,993     693,713,538   4,193,342,196
 226       455,616          2  PAST        1,653,974,839     933,729,634     429,262,054
 227       457,632          2  PAST        1,123,087,685   1,173,745,730     960,149,208
 228       459,648          2  PAST          592,200,531   1,396,919,331   1,491,036,362
 229       461,664          2  PAST           61,313,377   1,636,935,427   2,021,923,516
 230       463,680          2  PAST        3,825,393,519   1,876,886,244   2,552,810,670
 231       465,696          2  PAST        3,294,506,365   2,100,125,380   3,083,697,824
 232       467,712          2  PAST        2,763,619,211   2,340,141,476   3,614,584,978
 233       469,728          2  PAST        2,232,732,057   2,580,092,037   4,145,472,132
 234       471,744          2  PAST        1,701,844,903   2,803,331,173     381,391,990
 235       473,760          2  PAST        1,170,957,749   3,043,347,269     912,279,144
 236       475,776          2  PAST          640,070,595   3,283,297,830   1,443,166,298
 237       477,792          2  PAST          109,183,441   3,506,536,966   1,974,053,452
 238       479,808          2  PAST        3,873,263,583   3,746,553,318   2,504,940,606
 239       481,824          2  PAST        3,342,376,429   3,986,503,879   3,035,827,760
 240       483,840          2  PAST        2,811,489,275   4,226,519,975   3,566,714,914
 241       485,856          2  PAST        2,280,602,121     154,857,351   4,097,602,068
 242       487,872          2  PAST        1,749,714,967     394,807,912     333,521,926
 243       489,888          2  PAST        1,218,827,813     634,824,008     864,409,080
 244       491,904          2  PAST          687,940,659     857,997,609   1,395,296,234
 245       493,920          2  PAST          157,053,505   1,098,013,705   1,926,183,388
 246       495,936          2  PAST        3,921,133,647   1,338,030,057   2,457,070,542
 247       497,952          2  PAST        3,390,246,493   1,561,203,658   2,987,957,696
 248       499,968          2  PAST        2,859,359,339   1,801,219,754   3,518,844,850
 249       501,984          2  PAST        2,328,472,185   2,041,235,850   4,049,732,004
 250       504,000          2  PAST        1,797,585,031   2,281,186,411     285,651,862
 251       506,016          2  PAST        1,266,697,877   2,504,425,547     816,539,016
 252       508,032          2  PAST          735,810,723   2,744,441,643   1,347,426,170
 253       510,048          2  PAST          204,923,569   2,984,392,204   1,878,313,324
 254       512,064          2  PAST        3,969,003,711   3,207,631,596   2,409,200,478
 255       514,080          2  PAST        3,438,116,557   3,447,647,692   2,940,087,632
 256       516,096          2  PAST        2,907,229,403   3,687,598,253   3,470,974,786
 257       518,112          2  PAST        2,376,342,249   3,910,837,389   4,001,861,940
 258       520,128          2  PAST        1,845,455,095   4,150,853,485     237,781,798
 259       522,144          2  PAST        1,314,567,941      95,902,286     768,668,952
 260       524,160          2  PAST          783,680,787     319,141,422   1,299,556,106
 261       526,176          2  PAST          252,793,633     559,091,983   1,830,443,260
 262       528,192          2  PAST        4,016,873,775     799,108,335   2,361,330,414
 263       530,208          2  PAST        3,485,986,621   1,039,124,431   2,892,217,568
 264       532,224          2  PAST        2,955,099,467   1,262,298,032   3,423,104,722
 265       534,240          2  PAST        2,424,212,313   1,502,314,128   3,953,991,876
 266       536,256          2  PAST        1,893,325,159   1,742,330,224     189,911,734
 267       538,272          2  PAST        1,362,438,005   1,965,503,825     720,798,888
 268       540,288          2  PAST          831,550,851   2,205,519,921   1,251,686,042
 269       542,304          2  PAST          300,663,697   2,445,536,017   1,782,573,196
 270       544,320          2  PAST        4,064,743,839   2,668,709,874   2,313,460,350
 271       546,336          2  PAST        3,533,856,685   2,908,725,970   2,844,347,504
 272       548,352          2  PAST        3,002,969,531   3,148,742,066   3,375,234,658
 273       550,368          2  PAST        2,472,082,377   3,388,692,627   3,906,121,812
 274       552,384          2  PAST        1,941,195,223   3,611,931,763     142,041,670
 275       554,400          2  PAST        1,410,308,069   3,851,882,324     672,928,824
 276       556,416          2  PAST          879,420,915   4,091,898,420   1,203,815,978
 277       558,432          2  PAST          348,533,761      20,235,796   1,734,703,132
 278       560,448          2  PAST        4,112,613,903     260,186,613   2,265,590,286
 279       562,464          2  PAST        3,581,726,749     500,202,709   2,796,477,440
 280       564,480          2  PAST        3,050,839,595     723,441,845   3,327,364,594
 281       566,496          2  PAST        2,519,952,441     963,392,406   3,858,251,748
 282       568,512          2  PAST        1,989,065,287   1,203,408,502      94,171,606
 283       570,528          2  PAST        1,458,178,133   1,426,647,638     625,058,760
 284       572,544          2  PAST          927,290,979   1,666,598,199   1,155,945,914
 285       574,560          2  PAST          396,403,825   1,906,614,295   1,686,833,068
 286       576,576          2  PAST        4,160,483,967   2,146,630,647   2,217,720,222
 287       578,592          2  PAST        3,629,596,813   2,369,804,248   2,748,607,376
 288       580,608          2  PAST        3,098,709,659   2,609,820,344   3,279,494,530
 289       582,624          2  PAST        2,567,822,505   2,849,770,905   3,810,381,684
 290       584,640          2  PAST        2,036,935,351   3,073,010,041      46,301,542
 291       586,656          2  PAST        1,506,048,197   3,313,026,137     577,188,696
 292       588,672          2  PAST          975,161,043   3,552,976,698   1,108,075,850
 293       590,688          2  PAST          444,273,889   3,776,215,834   1,638,963,004
 294       592,704          2  PAST        4,208,354,031   4,016,232,186   2,169,850,158
 295       594,720          2  PAST        3,677,466,877   4,256,182,747   2,700,737,312
 296       596,736          2  PAST        3,146,579,723     201,297,083   3,231,624,466
 297       598,752          2  PAST        2,615,692,569     424,536,219   3,762,511,620
 298       600,768          2  PAST        2,084,805,415     664,486,780   4,293,398,774
 299       602,784          2  PAST        1,553,918,261     904,502,876     529,318,632
 300       604,800          2  PAST        1,023,031,107   1,127,742,012   1,060,205,786
 301       606,816          2  PAST          492,143,953   1,367,692,573   1,591,092,940
 302       608,832          2  PAST        4,256,224,095   1,607,708,925   2,121,980,094
 303       610,848          2  PAST        3,725,336,941   1,830,882,526   2,652,867,248
 304       612,864          2  PAST        3,194,449,787   2,070,898,622   3,183,754,402
 305       614,880          2  PAST        2,663,562,633   2,310,914,718   3,714,641,556
 306       616,896          2  PAST        2,132,675,479   2,534,088,319   4,245,528,710
 307       618,912          2  PAST        1,601,788,325   2,774,104,415     481,448,568
 308       620,928          2  PAST        1,070,901,171   3,014,120,511   1,012,335,722
 309       622,944          2  PAST          540,014,017   3,254,071,072   1,543,222,876
 310       624,960          2  PAST            9,126,863   3,477,310,208   2,074,110,030
 311       626,976          2  PAST        3,773,207,005   3,717,326,560   2,604,997,184
 312       628,992          2  PAST        3,242,319,851   3,957,277,121   3,135,884,338
 313       631,008          3  PAST        2,357,507,928   1,488,422,028   4,020,696,261
 314       633,024          3  PAST        1,826,620,774   1,711,661,164     256,616,119
 315       635,040          3  PAST        1,295,733,620   1,951,611,725     787,503,273
 316       637,056          3  PAST          764,846,466   2,191,627,821   1,318,390,427
 317       639,072          3  PAST          233,959,312   2,431,643,917   1,849,277,581
 318       641,088          3  PAST        3,998,039,454   2,654,817,774   2,380,164,735
 319       643,104          3  PAST        3,467,152,300   2,894,833,870   2,911,051,889
 320       645,120          3  PAST        2,936,265,146   3,134,784,431   3,441,939,043
 321       647,136          3  PAST        2,405,377,992   3,358,023,567   3,972,826,197
 322       649,152          3  PAST        1,874,490,838   3,598,039,663     208,746,055
 323       651,168          3  PAST        1,343,603,684   3,837,990,224     739,633,209
 324       653,184          3  PAST          812,716,530   4,061,229,360   1,270,520,363
 325       655,200          3  PAST          281,829,376       6,343,696   1,801,407,517
 326       657,216          3  PAST        4,045,909,518     246,294,513   2,332,294,671
 327       659,232          3  PAST        3,515,022,364     486,310,609   2,863,181,825
 328       661,248          3  PAST        2,984,135,210     709,549,745   3,394,068,979
 329       663,264          3  PAST        2,453,248,056     949,500,306   3,924,956,133
 330       665,280          3  PAST        1,922,360,902   1,189,516,402     160,875,991
 331       667,296          3  PAST        1,391,473,748   1,412,755,538     691,763,145
 332       669,312          3  PAST          860,586,594   1,652,706,099   1,222,650,299
 333       671,328          3  PAST          329,699,440   1,892,722,195   1,753,537,453
 334       673,344          3  PAST        4,093,779,582   2,115,896,052   2,284,424,607
 335       675,360          3  PAST        3,562,892,428   2,355,912,148   2,815,311,761
 336       677,376          3  PAST        3,032,005,274   2,595,928,244   3,346,198,915
 337       679,392          3  PAST        2,501,118,120   2,819,101,845   3,877,086,069
 338       681,408          3  PAST        1,970,230,966   3,059,117,941     113,005,927
 339       683,424          3  PAST        1,439,343,812   3,299,134,037     643,893,081
 340       685,440          3  PAST          908,456,658   3,539,084,598   1,174,780,235
 341       687,456          3  PAST          377,569,504   3,762,323,734   1,705,667,389
 342       689,472          3  PAST        4,141,649,646   4,002,340,086   2,236,554,543
 343       691,488          3  PAST        3,610,762,492   4,242,290,647   2,767,441,697
 344       693,504          3  PAST        3,079,875,338     170,628,023   3,298,328,851
 345       695,520          3  PAST        2,548,988,184     410,644,119   3,829,216,005
 346       697,536          3  PAST        2,018,101,030     650,594,680      65,135,863
 347       699,552          3  PAST        1,487,213,876     873,833,816     596,023,017
 348       701,568          3  PAST          956,326,722   1,113,784,377   1,126,910,171
 349       703,584          3  PAST          425,439,568   1,353,800,473   1,657,797,325
 350       705,600          3  PAST        4,189,519,710   1,593,816,825   2,188,684,479
 351       707,616          3  PAST        3,658,632,556   1,816,990,426   2,719,571,633
 352       709,632          3  PAST        3,127,745,402   2,057,006,522   3,250,458,787
 353       711,648          3  PAST        2,596,858,248   2,297,022,618   3,781,345,941
 354       713,664          3  PAST        2,065,971,094   2,520,196,219      17,265,799
 355       715,680          3  PAST        1,535,083,940   2,760,212,315     548,152,953
 356       717,696          3  PAST        1,004,196,786   3,000,228,411   1,079,040,107
 357       719,712          3  PAST          473,309,632   3,223,402,012   1,609,927,261
 358       721,728          3  PAST        4,237,389,774   3,463,418,364   2,140,814,415
 359       723,744          3  PAST        3,706,502,620   3,703,434,460   2,671,701,569
 360       725,760          3  PAST        3,175,615,466   3,926,608,061   3,202,588,723
 361       727,776          3  PAST        2,644,728,312   4,166,624,157   3,733,475,877
 362       729,792          3  PAST        2,113,841,158     111,738,493   4,264,363,031
 363       731,808          3  PAST        1,582,954,004     351,689,054     500,282,889
 364       733,824          3  PAST        1,052,066,850     574,928,190   1,031,170,043
 365       735,840          3  PAST          521,179,696     814,878,751   1,562,057,197
 366       737,856          3  PAST        4,285,259,838   1,054,895,103   2,092,944,351
 367       739,872          3  PAST        3,754,372,684   1,278,134,239   2,623,831,505
 368       741,888          3  PAST        3,223,485,530   1,518,084,800   3,154,718,659
 369       743,904          3  PAST        2,692,598,376   1,758,100,896   3,685,605,813
 370       745,920          3  PAST        2,161,711,222   1,981,340,032   4,216,492,967
 371       747,936          3  PAST        1,630,824,068   2,221,290,593     452,412,825
 372       749,952          3  PAST        1,099,936,914   2,461,306,689     983,299,979
 373       751,968          3  PAST          569,049,760   2,684,545,825   1,514,187,133
 374       753,984          3  PAST           38,162,606   2,924,496,386   2,045,074,287
 375       756,000          3  PAST        3,802,242,748   3,164,512,738   2,575,961,441
