NEXT 1000 BLOCKS — PRE-SOLVED
nos3bl33d / (DFG) DeadFoxGroup | x^2 = x + 1
Generated 2026-04-10 22:59:13 UTC
From block 944526 forward, 2016 blocks per step
Pentagon rotation: 530,887,154 nonces per difficulty adjustment

STEP  BLOCK_START  HALVENING  PRED_NONCE      NSWAP_NONCE     MIRROR
  509    1,026,144          4     498,028,925   3,522,827,735   2,102,505,245
  510    1,028,160          4   4,262,109,067   4,020,304,312   2,342,456,062
  511    1,030,176          4   3,731,221,913   3,981,893,273   2,582,472,158
  512    1,032,192          4   3,200,334,759   3,944,526,714   2,805,711,294
  513    1,034,208          4   2,669,447,605   4,190,214,235   3,045,661,855
  514    1,036,224          4   2,138,560,451   4,151,803,196   3,285,677,951
  515    1,038,240          4   1,607,673,297   4,114,436,637   3,508,917,087
  516    1,040,256          4   1,076,786,143      81,934,333   3,748,867,648
  517    1,042,272          4     545,898,989      43,523,294   3,988,883,744
  518    1,044,288          4      15,011,835       6,222,015   4,212,122,880
  519    1,046,304          4   3,779,091,977     503,637,392     157,171,937
  520    1,048,320          4   3,248,204,823     481,938,033     397,188,033
  521    1,050,336          5   2,363,392,900   3,370,989,640   2,223,234,700
  522    1,052,352          5   1,832,505,746   3,599,965,481   2,463,185,261
  523    1,054,368          5   1,301,618,592   3,562,664,202   2,686,424,397
  524    1,056,384          5     770,731,438   3,524,253,418   2,926,440,493
  525    1,058,400          5     239,844,284   3,769,940,939   3,166,391,054
  526    1,060,416          5   4,003,924,426   4,001,009,836   3,389,630,446
  527    1,062,432          5   3,473,037,272   4,229,985,677   3,629,581,007
  528    1,064,448          5   2,942,150,118   4,208,286,318   3,869,597,103
  529    1,066,464          5   2,411,262,964   4,169,875,279   4,109,613,199
  530    1,068,480          5   1,880,375,810     121,709,600      37,885,040
  531    1,070,496          5   1,349,488,656     100,010,241     277,901,136
  532    1,072,512          5     818,601,502      61,664,737     517,917,232
  533    1,074,528          5     287,714,348     291,685,058     741,090,833
  534    1,076,544          5   4,051,794,490     521,709,475     981,107,185
  535    1,078,560          5   3,520,907,336     500,010,116   1,221,123,281
  536    1,080,576          5   2,990,020,182     730,030,437   1,444,296,882
  537    1,082,592          5   2,459,133,028     691,619,398   1,684,312,978
  538    1,084,608          5   1,928,245,874     669,920,039   1,924,329,074
  539    1,086,624          5   1,397,358,720     899,940,360   2,147,502,675
  540    1,088,640          5     866,471,566     861,594,856   2,387,518,771
  541    1,090,656          5     335,584,412   1,090,570,697   2,627,469,332
  542    1,092,672          5   4,099,664,554   1,337,306,794   2,867,485,684
  543    1,094,688          5   3,568,777,400   1,299,940,235   3,090,724,820
  544    1,096,704          5   3,037,890,246   1,528,916,076   3,330,675,381
  545    1,098,720          5   2,507,003,092   1,507,216,717   3,570,691,477
  546    1,100,736          5   1,976,115,938   1,469,850,158   3,793,930,613
  547    1,102,752          5   1,445,228,784   1,698,825,999   4,033,881,174
  548    1,104,768          5     914,341,630   1,677,192,175   4,273,897,270
  549    1,106,784          5     383,454,476   1,639,829,696     202,234,646
  550    1,108,800          5   4,147,534,618   2,137,240,993     442,185,463
  551    1,110,816          5   3,616,647,464   2,098,829,954     682,201,559
  552    1,112,832          5   3,085,760,310   2,077,130,595     922,217,655
  553    1,114,848          5   2,554,873,156   2,307,150,916   1,145,391,256
  554    1,116,864          5   2,023,986,002   2,268,739,877   1,385,407,352
  555    1,118,880          5   1,493,098,848   2,247,040,518   1,625,423,448
  556    1,120,896          5     962,211,694   2,477,126,374   1,848,597,049
  557    1,122,912          5     431,324,540   2,438,715,335   2,088,613,145
  558    1,124,928          5   4,195,404,682   2,936,126,632   2,328,563,962
  559    1,126,944          5   3,664,517,528   2,915,471,753   2,551,803,098
  560    1,128,960          5   3,133,630,374   2,877,060,714   2,791,819,194
  561    1,130,976          5   2,602,743,220   3,106,036,555   3,031,769,755
  562    1,132,992          5   2,071,856,066   3,085,381,676   3,255,008,891
  563    1,135,008          5   1,540,968,912   3,046,970,637   3,495,024,987
  564    1,137,024          5   1,010,081,758   3,276,012,013   3,734,975,548
  565    1,139,040          5     479,194,604   3,254,312,654   3,974,991,644
  566    1,141,056          5   4,243,274,746   3,485,381,551   4,198,231,036
  567    1,143,072          5   3,712,387,592   3,714,361,472     143,279,837
  568    1,145,088          5   3,181,500,438   3,675,950,433     383,295,933
  569    1,147,104          5   2,650,613,284   3,655,295,554     606,535,069
  570    1,149,120          5   2,119,726,130   3,884,271,395     846,485,630
  571    1,151,136          5   1,588,838,976   3,845,860,356   1,086,501,726
  572    1,153,152          5   1,057,951,822   4,092,592,612   1,309,675,327
  573    1,155,168          5     527,064,668   4,054,246,853   1,549,691,423
  574    1,157,184          5   4,291,144,810   4,284,271,270   1,789,707,775
  575    1,159,200          5   3,760,257,656     235,057,031   2,029,658,336
  576    1,161,216          5   3,229,370,502     214,402,152   2,252,897,472
  577    1,163,232          5   2,698,483,348     175,991,113   2,492,913,568
  578    1,165,248          5   2,167,596,194     404,966,954   2,732,864,129
  579    1,167,264          5   1,636,709,040     384,312,075   2,956,103,265
  580    1,169,280          5   1,105,821,886     345,901,291   3,196,119,361
  581    1,171,296          5     574,934,732     574,942,412   3,436,069,922
  582    1,173,312          5      44,047,578     537,575,853   3,659,309,058
  583    1,175,328          5   3,808,127,720     784,311,950   3,899,325,410
  584    1,177,344          5   3,277,240,566   1,013,287,791   4,139,275,971
  585    1,179,360          5   2,746,353,412     975,925,312      67,613,347
  586    1,181,376          5   2,215,466,258   1,221,612,833     307,563,908
  587    1,183,392          5   1,684,579,104   1,183,201,794     547,580,004
  588    1,185,408          5   1,153,691,950   1,144,791,010     787,596,100
  589    1,187,424          5     622,804,796   1,391,588,291   1,010,769,701
  590    1,189,440          5      91,917,642   1,353,177,252   1,250,785,797
  591    1,191,456          5   3,855,997,784   1,583,201,669   1,490,802,149
  592    1,193,472          5   3,325,110,630   1,813,221,990   1,713,975,750
  593    1,195,488          5   2,794,223,476   1,791,522,631   1,953,991,846
  594    1,197,504          5   2,263,336,322   1,753,111,592   2,194,007,942
  595    1,199,520          5   1,732,449,168   1,983,131,913   2,417,181,543
  596    1,201,536          5   1,201,562,014   1,961,432,809   2,657,197,639
  597    1,203,552          5     670,674,860   1,923,087,050   2,897,213,735
  598    1,205,568          5     139,787,706   2,152,062,891   3,137,164,296
  599    1,207,584          5   3,903,867,848   2,383,131,788   3,360,403,688
  600    1,209,600          5   3,372,980,694   2,628,819,309   3,600,354,249
  601    1,211,616          5   2,842,093,540   2,590,408,270   3,840,370,345
  602    1,213,632          5   2,311,206,386   2,553,041,711   4,063,609,481
  603    1,215,648          5   1,780,319,232   2,798,733,312       8,658,282
  604    1,217,664          5   1,249,432,078   2,760,322,528     248,674,378
  605    1,219,680          5     718,544,924   2,722,955,969     471,913,514
  606    1,221,696          5     187,657,770   2,968,708,770     711,864,075
  607    1,223,712          5   3,951,737,912   3,198,733,187     951,880,427
  608    1,225,728          5   3,420,850,758   3,161,366,628   1,175,119,563
  609    1,227,744          5   2,889,963,604   3,390,342,469   1,415,070,124
  610    1,229,760          5   2,359,076,450   3,368,643,110   1,655,086,220
  611    1,231,776          5   1,828,189,296   3,330,232,071   1,895,102,316
  612    1,233,792          5   1,297,302,142   3,560,252,647   2,118,275,917
  613    1,235,808          5     766,414,988   3,538,553,288   2,358,292,013
  614    1,237,824          5     235,527,834   3,767,594,409   2,598,242,574
  615    1,239,840          5   3,999,607,976   3,998,663,306   2,821,481,966
  616    1,241,856          5   3,468,720,822   3,960,252,267   3,061,498,062
  617    1,243,872          5   2,937,833,668   4,205,939,788   3,301,448,623
  618    1,245,888          5   2,406,946,514   4,168,573,229   3,524,687,759
  619    1,247,904          5   1,876,059,360   4,130,162,190   3,764,703,855
  620    1,249,920          5   1,345,172,206      97,659,886   4,004,654,416
  621    1,251,936          5     814,285,052      60,293,327   4,227,893,552
  622    1,253,952          5     283,397,898      21,951,648     173,007,888
  623    1,255,968          5   4,047,478,040     536,074,625     412,958,705
  624    1,257,984          5   3,516,590,886     497,663,586     652,974,801
  625    1,260,000          6   2,631,778,963   3,386,715,193   2,479,021,468
  626    1,262,016          6   2,100,891,809   3,616,735,514   2,702,195,069
  627    1,264,032          6   1,570,004,655   3,578,390,010   2,942,211,165
  628    1,266,048          6   1,039,117,501   3,556,690,651   3,182,227,261
  629    1,268,064          6     508,230,347   3,785,666,492   3,422,177,822
  630    1,270,080          6   4,272,310,489   4,016,735,389   3,645,417,214
  631    1,272,096          6   3,741,423,335   4,245,711,230   3,885,367,775
  632    1,274,112          6   3,210,536,181   4,224,011,871   4,125,383,871
  633    1,276,128          6   2,679,649,027   4,186,649,392      53,721,247
  634    1,278,144          6   2,148,761,873     137,435,153     293,671,808
  635    1,280,160          6   1,617,874,719     115,801,329     533,687,904
  636    1,282,176          6   1,086,987,565      78,434,770     756,927,040
  637    1,284,192          6     556,100,411     307,410,611     996,877,601
  638    1,286,208          6      25,213,257     268,999,572   1,236,893,697
  639    1,288,224          6   3,789,293,399     516,780,149   1,460,133,089
  640    1,290,240          6   3,258,406,245     745,755,990   1,700,083,650
  641    1,292,256          6   2,727,519,091     707,344,951   1,940,099,746
  642    1,294,272          6   2,196,631,937     685,645,592   2,180,115,842
  643    1,296,288          6   1,665,744,783     915,731,448   2,403,289,443
  644    1,298,304          6   1,134,857,629     877,320,409   2,643,305,539
  645    1,300,320          6     603,970,475     855,621,050   2,883,321,635
  646    1,302,336          6      73,083,321   1,085,641,371   3,106,495,236
  647    1,304,352          6   3,837,163,463   1,315,665,788   3,346,511,588
  648    1,306,368          6   3,306,276,309   1,544,641,629   3,586,462,149
  649    1,308,384          6   2,775,389,155   1,523,986,750   3,809,701,285
  650    1,310,400          6   2,244,502,001   1,485,575,711   4,049,717,381
  651    1,312,416          6   1,713,614,847   1,714,617,087   4,289,667,942
  652    1,314,432          6   1,182,727,693   1,692,921,808     234,782,278
  653    1,316,448          6     651,840,539   1,655,555,249     458,021,414
  654    1,318,464          6     120,953,385   1,884,531,090     697,971,975
  655    1,320,480          6   3,885,033,527   2,114,555,507     937,988,327
  656    1,322,496          6   3,354,146,373   2,093,900,628   1,161,227,463
  657    1,324,512          6   2,823,259,219   2,322,876,469   1,401,178,024
  658    1,326,528          6   2,292,372,065   2,284,465,430   1,641,194,120
  659    1,328,544          6   1,761,484,911   2,263,810,806   1,864,433,256
  660    1,330,560          6   1,230,597,757   2,492,851,927   2,104,383,817
  661    1,332,576          6     699,710,603   2,454,440,888   2,344,399,913
  662    1,334,592          6     168,823,449   2,684,461,209   2,567,573,514
  663    1,336,608          6   3,932,903,591   2,931,197,306   2,807,589,866
  664    1,338,624          6   3,402,016,437   2,892,786,267   3,047,605,962
  665    1,340,640          6   2,871,129,283   3,121,762,108   3,287,556,523
  666    1,342,656          6   2,340,242,129   3,101,107,229   3,510,795,659
  667    1,344,672          6   1,809,354,975   3,062,696,445   3,750,811,755
  668    1,346,688          6   1,278,467,821   3,291,737,566   3,990,762,316
  669    1,348,704          6     747,580,667   3,271,082,687   4,214,001,452
  670    1,350,720          6     216,693,513   3,232,675,728     159,115,788
  671    1,352,736          6   3,980,773,655   3,730,087,025     399,066,605
  672    1,354,752          6   3,449,886,501   3,692,720,466     622,305,741
  673    1,356,768          6   2,918,999,347   3,671,021,107     862,321,837
  674    1,358,784          6   2,388,112,193   3,899,996,948   1,102,272,398
  675    1,360,800          6   1,857,225,039   3,862,630,644   1,325,511,534
  676    1,362,816          6   1,326,337,885   4,108,383,445   1,565,462,095
  677    1,364,832          6     795,450,731   4,069,972,406   1,805,478,191
  678    1,366,848          6     264,563,577   4,031,561,367   2,045,494,287
  679    1,368,864          6   4,028,643,719     251,827,064   2,268,668,144
  680    1,370,880          6   3,497,756,565     230,127,705   2,508,684,240
  681    1,372,896          6   2,966,869,411     191,716,666   2,748,700,336
  682    1,374,912          6   2,435,982,257     421,736,987   2,971,873,937
  683    1,376,928          6   1,905,095,103     400,037,883   3,211,890,033
  684    1,378,944          6   1,374,207,949     361,692,124   3,451,906,129
  685    1,380,960          6     843,320,795     591,712,445   3,675,079,730
  686    1,382,976          6     312,433,641     570,013,086   3,915,095,826
  687    1,384,992          6   4,076,513,783     800,037,503   4,155,112,178
  688    1,387,008          6   3,545,626,629   1,029,017,424     100,160,979
  689    1,389,024          6   3,014,739,475     991,650,865     323,400,115
  690    1,391,040          6   2,483,852,321   1,237,338,386     563,350,676
  691    1,393,056          6   1,952,965,167   1,198,927,602     803,366,772
  692    1,395,072          6   1,422,078,013   1,161,561,043   1,026,605,908
  693    1,397,088          6     891,190,859   1,407,313,844   1,266,556,469
  694    1,399,104          6     360,303,705   1,368,902,805   1,506,572,565
  695    1,401,120          6   4,124,383,847   1,599,971,702   1,729,811,957
  696    1,403,136          6   3,593,496,693   1,828,947,543   1,969,762,518
  697    1,405,152          6   3,062,609,539   1,807,248,184   2,209,778,614
  698    1,407,168          6   2,531,722,385   1,769,881,625   2,433,017,750
  699    1,409,184          6   2,000,835,231   1,998,857,721   2,672,968,311
  700    1,411,200          6   1,469,948,077   1,977,158,362   2,912,984,407
  701    1,413,216          6     939,060,923   1,938,812,603   3,153,000,503
  702    1,415,232          6     408,173,769   2,168,832,924   3,376,174,104
  703    1,417,248          6   4,172,253,911   2,415,569,021   3,616,190,456
  704    1,419,264          6   3,641,366,757   2,644,544,862   3,856,141,017
  705    1,421,280          6   3,110,479,603   2,607,178,303   4,079,380,153
  706    1,423,296          6   2,579,592,449   2,568,771,344      24,494,489
  707    1,425,312          6   2,048,705,295   2,814,459,120     264,445,050
  708    1,427,328          6   1,517,818,141   2,777,092,561     487,684,186
  709    1,429,344          6     986,930,987   2,738,746,802     727,700,282
  710    1,431,360          6     456,043,833   2,984,434,323     967,650,843
  711    1,433,376          6   4,220,123,975   3,214,458,740   1,207,667,195
  712    1,435,392          6   3,689,236,821   3,177,092,181   1,430,906,331
  713    1,437,408          6   3,158,349,667   3,406,068,022   1,670,856,892
  714    1,439,424          6   2,627,462,513   3,384,368,663   1,910,872,988
  715    1,441,440          6   2,096,575,359   3,347,002,359   2,134,112,124
  716    1,443,456          6   1,565,688,205   3,575,978,200   2,374,062,685
  717    1,445,472          6   1,034,801,051   3,554,344,121   2,614,078,781
  718    1,447,488          6     503,913,897   3,784,364,442   2,837,252,382
  719    1,449,504          6   4,267,994,039   4,014,388,859   3,077,268,734
  720    1,451,520          6   3,737,106,885   3,992,689,500   3,317,284,830
  721    1,453,536          6   3,206,219,731   4,222,709,821   3,540,458,431
  722    1,455,552          6   2,675,332,577   4,184,298,782   3,780,474,527
  723    1,457,568          6   2,144,445,423   4,145,887,998   4,020,490,623
  724    1,459,584          6   1,613,558,269     113,385,439   4,260,441,184
  725    1,461,600          6   1,082,671,115      76,022,960     188,778,560
  726    1,463,616          6     551,783,961      37,677,201     428,794,656
  727    1,465,632          6      20,896,807     283,364,722     668,745,217
  728    1,467,648          6   3,784,976,949     514,433,619     891,984,609
  729    1,469,664          6   3,254,089,795     476,022,580   1,132,000,705
  730    1,471,680          7   2,369,277,872   3,632,526,347   2,957,981,837
  731    1,473,696          7   1,838,390,718   3,594,115,563   3,197,997,933
  732    1,475,712          7   1,307,503,564   3,572,416,204   3,438,014,029
  733    1,477,728          7     776,616,410   3,802,436,525   3,661,187,630
  734    1,479,744          7     245,729,256   3,764,025,486   3,901,203,726
  735    1,481,760          7   4,009,809,398   4,261,436,783   4,141,154,543
  736    1,483,776          7   3,478,922,244   4,240,785,984      69,491,919
  737    1,485,792          7   2,948,035,090   4,202,374,945     309,508,015
  738    1,487,808          7   2,417,147,936     153,160,706     549,458,576
  739    1,489,824          7   1,886,260,782     132,571,362     772,697,712
  740    1,491,840          7   1,355,373,628      94,160,323   1,012,713,808
  741    1,493,856          7     824,486,474     323,136,164   1,252,664,369
  742    1,495,872          7     293,599,320     301,436,805   1,492,680,465
  743    1,497,888          7   4,057,679,462     532,505,702   1,715,919,857
  744    1,499,904          7   3,526,792,308     761,481,543   1,955,870,418
  745    1,501,920          7   2,995,905,154     723,070,504   2,195,886,514
  746    1,503,936          7   2,465,018,000     702,415,625   2,419,125,650
  747    1,505,952          7   1,934,130,846     931,457,001   2,659,076,211
  748    1,507,968          7   1,403,243,692     893,045,962   2,899,092,307
  749    1,509,984          7     872,356,538     872,391,083   3,122,331,443
  750    1,512,000          7     341,469,384   1,101,366,924   3,362,282,004
  751    1,514,016          7   4,105,549,526   1,331,391,341   3,602,298,356
  752    1,516,032          7   3,574,662,372   1,561,411,662   3,825,471,957
  753    1,518,048          7   3,043,775,218   1,539,712,303   4,065,488,053
  754    1,520,064          7   2,512,888,064   1,501,305,344      10,602,389
  755    1,522,080          7   1,982,000,910   1,730,346,720     250,552,950
  756    1,524,096          7   1,451,113,756   1,709,691,841     473,792,086
  757    1,526,112          7     920,226,602   1,671,280,802     713,808,182
  758    1,528,128          7     389,339,448   1,900,256,643     953,758,743
  759    1,530,144          7   4,153,419,590   2,131,325,540   1,176,998,135
  760    1,532,160          7   3,622,532,436   2,109,626,181   1,417,014,231
  761    1,534,176          7   3,091,645,282   2,338,602,022   1,656,964,792
  762    1,536,192          7   2,560,758,128   2,301,235,463   1,880,203,928
  763    1,538,208          7   2,029,870,974   2,279,601,639   2,120,220,024
  764    1,540,224          7   1,498,983,820   2,508,577,480   2,360,170,585
  765    1,542,240          7     968,096,666   2,470,166,441   2,600,186,681
  766    1,544,256          7     437,209,512   2,716,898,442   2,823,360,282
  767    1,546,272          7   4,201,289,654   2,946,922,859   3,063,376,634
  768    1,548,288          7   3,670,402,500   2,908,511,820   3,303,392,730
  769    1,550,304          7   3,139,515,346   3,138,532,141   3,526,566,331
  770    1,552,320          7   2,608,628,192   3,116,832,782   3,766,582,427
  771    1,554,336          7   2,077,741,038   3,078,487,278   4,006,598,523
  772    1,556,352          7   1,546,853,884   3,308,507,599   4,229,772,124
  773    1,558,368          7   1,015,966,730   3,286,812,320     174,886,460
  774    1,560,384          7     485,079,576   3,248,401,281     414,902,556
  775    1,562,400          7   4,249,159,718   3,746,857,058     638,076,413
  776    1,564,416          7   3,718,272,564   3,708,446,019     878,092,509
  777    1,566,432          7   3,187,385,410   3,686,746,660   1,118,108,605
  778    1,568,448          7   2,656,498,256   3,915,722,501   1,358,059,166
  779    1,570,464          7   2,125,611,102   3,878,356,197   1,581,298,302
  780    1,572,480          7   1,594,723,948   4,124,108,998   1,821,248,863
  781    1,574,496          7   1,063,836,794   4,085,697,959   2,061,264,959
  782    1,576,512          7     532,949,640   4,048,331,400   2,284,504,095
  783    1,578,528          7       2,062,486      15,828,841   2,524,454,656
  784    1,580,544          7   3,766,142,628     245,853,258   2,764,471,008
  785    1,582,560          7   3,235,255,474     208,486,699   2,987,710,144
  786    1,584,576          7   2,704,368,320     437,462,540   3,227,660,705
  787    1,586,592          7   2,173,481,166     415,763,436   3,467,676,801
  788    1,588,608          7   1,642,594,012     377,417,677   3,707,692,897
  789    1,590,624          7   1,111,706,858     607,437,998   3,930,866,498
  790    1,592,640          7     580,819,704     585,738,639   4,170,882,594
  791    1,594,656          7      49,932,550     547,331,680     115,996,930
  792    1,596,672          7   3,814,012,692   1,045,787,457     339,170,787
  793    1,598,688          7   3,283,125,538   1,007,376,418     579,186,883
  794    1,600,704          7   2,752,238,384   1,253,063,939     819,137,444
  795    1,602,720          7   2,221,351,230   1,215,697,635   1,042,376,580
  796    1,604,736          7   1,690,464,076   1,177,351,876   1,282,392,676
  797    1,606,752          7   1,159,576,922   1,423,039,397   1,522,343,237
  798    1,608,768          7     628,689,768   1,385,672,838   1,745,582,373
  799    1,610,784          7      97,802,614   1,347,261,799   1,985,598,469
  800    1,612,800          7   3,861,882,756   1,861,384,776   2,225,549,286
  801    1,614,816          7   3,330,995,602   1,822,973,737   2,465,565,382
  802    1,616,832          7   2,800,108,448   1,785,607,178   2,688,804,518
  803    1,618,848          7   2,269,221,294   2,014,583,274   2,928,755,079
  804    1,620,864          7   1,738,334,140   1,992,949,195   3,168,771,175
  805    1,622,880          7   1,207,446,986   1,955,582,636   3,392,010,311
  806    1,624,896          7     676,559,832   2,184,558,477   3,631,960,872
  807    1,626,912          7     145,672,678   2,162,859,118   3,871,976,968
  808    1,628,928          7   3,909,752,820   2,661,314,895   4,095,150,825
  809    1,630,944          7   3,378,865,666   2,622,907,936      40,265,161
  810    1,632,960          7   2,847,978,512   2,584,496,897     280,281,257
  811    1,634,976          7   2,317,091,358   2,831,229,153     503,454,858
  812    1,636,992          7   1,786,204,204   2,792,818,114     743,470,954
  813    1,639,008          7   1,255,317,050   2,754,472,355     983,487,050
  814    1,641,024          7     724,429,896   3,000,159,876   1,223,437,611
  815    1,643,040          7     193,542,742   2,962,793,317   1,446,676,747
  816    1,645,056          7   3,957,622,884   3,192,817,734   1,686,693,099
  817    1,647,072          7   3,426,735,730   3,438,505,255   1,926,643,660
  818    1,649,088          7   2,895,848,576   3,401,138,696   2,149,882,796
  819    1,651,104          7   2,364,961,422   3,362,727,912   2,389,898,892
  820    1,653,120          7   1,834,074,268   3,591,703,753   2,629,849,453
  821    1,655,136          7   1,303,187,114   3,571,114,154   2,853,088,589
  822    1,657,152          7     772,299,960   3,800,089,995   3,093,039,150
  823    1,659,168          7     241,412,806   3,761,678,956   3,333,055,246
  824    1,661,184          7   4,005,492,948   4,008,415,053   3,573,071,598
  825    1,663,200          7   3,474,605,794   4,238,435,374   3,796,245,199
  826    1,665,216          7   2,943,718,640   4,200,024,335   4,036,261,295
  827    1,667,232          7   2,412,831,486   4,161,613,551   4,276,277,391
  828    1,669,248          7   1,881,944,332     130,159,552     204,549,232
  829    1,671,264          7   1,351,057,178      91,813,793     444,565,328
  830    1,673,280          7     820,170,024      53,402,754     684,581,424
  831    1,675,296          7     289,282,870     300,134,755     907,755,025
  832    1,677,312          7   4,053,363,012     530,159,172   1,147,771,377
  833    1,679,328          7   3,522,475,858     491,748,133   1,387,787,473
  834    1,681,344          8   2,637,663,935   3,648,252,155   3,213,768,605
  835    1,683,360          8   2,106,776,781   3,609,841,116   3,453,784,701
  836    1,685,376          8   1,575,889,627   3,589,186,237   3,677,023,837
  837    1,687,392          8   1,045,002,473   3,818,162,078   3,916,974,398
  838    1,689,408          8     514,115,319   3,779,751,039   4,156,990,494
  839    1,691,424          8   4,278,195,461   4,278,210,896      85,262,591
  840    1,693,440          8   3,747,308,307   4,256,511,537     325,278,687
  841    1,695,456          8   3,216,421,153   4,218,100,498     565,294,783
  842    1,697,472          8   2,685,533,999     168,951,794     805,245,344
  843    1,699,488          8   2,154,646,845     148,296,915   1,028,484,480
  844    1,701,504          8   1,623,759,691     109,885,876   1,268,500,576
  845    1,703,520          8   1,092,872,537     338,861,717   1,508,451,137
  846    1,705,536          8     561,985,383     318,206,838   1,731,690,273
  847    1,707,552          8      31,098,229     279,795,799   1,971,706,369
  848    1,709,568          8   3,795,178,371     777,207,096   2,211,657,186
  849    1,711,584          8   3,264,291,217     739,840,537   2,434,896,322
  850    1,713,600          8   2,733,404,063     718,206,713   2,674,912,418
  851    1,715,616          8   2,202,516,909     947,182,554   2,914,862,979
  852    1,717,632          8   1,671,629,755     909,815,995   3,138,102,115
  853    1,719,648          8   1,140,742,601     888,116,636   3,378,118,211
  854    1,721,664          8     609,855,447   1,117,092,477   3,618,068,772
  855    1,723,680          8      78,968,293   1,078,681,438   3,858,084,868
  856    1,725,696          8   3,843,048,435   1,577,137,215   4,081,258,725
  857    1,727,712          8   3,312,161,281   1,555,441,936      26,373,061
  858    1,729,728          8   2,781,274,127   1,517,031,152     266,389,157
  859    1,731,744          8   2,250,386,973   1,747,116,753     489,562,758
  860    1,733,760          8   1,719,499,819   1,725,417,394     729,578,854
  861    1,735,776          8   1,188,612,665   1,687,006,355     969,594,950
  862    1,737,792          8     657,725,511   1,917,026,676   1,192,768,551
  863    1,739,808          8     126,838,357   1,895,327,317   1,432,784,647
  864    1,741,824          8   3,890,918,499   2,125,351,734   1,672,800,999
  865    1,743,840          8   3,360,031,345   2,355,372,055   1,895,974,600
  866    1,745,856          8   2,829,144,191   2,316,961,271   2,135,990,696
  867    1,747,872          8   2,298,257,037   2,295,327,192   2,376,006,792
  868    1,749,888          8   1,767,369,883   2,524,303,033   2,615,957,353
  869    1,751,904          8   1,236,482,729   2,486,936,474   2,839,196,489
  870    1,753,920          8     705,595,575   2,732,623,995   3,079,147,050
  871    1,755,936          8     174,708,421   2,694,212,956   3,319,163,146
  872    1,757,952          8   3,938,788,563   2,925,281,853   3,542,402,538
  873    1,759,968          8   3,407,901,409   3,154,257,694   3,782,353,099
  874    1,761,984          8   2,877,014,255   3,132,558,590   4,022,369,195
  875    1,764,000          8   2,346,127,101   3,095,257,311   4,245,608,331
